"私は和室が好きです。","私[わたし]は 和室[わしつ]が 好[す]きです。","I like Japanese-style rooms.<br><br>和室[わしつ] - Japanese-style room.<br><br>和[わ] refers to things that are Japanese.","Me gustan las habitaciones de estilo japonés.<br><br>和室[わしつ] - Habitación de estilo japonés.<br><br>和[わ] se refiere a cosas que son japonesas.","[sound:JLPT_Tango_N4_0080.mp3]","","単語N4"
"畳の部屋があるアパートに住みたいです。","畳[たたみ]の 部屋[へや]があるアパートに 住[す]みたいです。","I want to live in an apartment that has tatami mats.<br><br>畳[たたみ] - tatami mat, Japanese straw floor covering","Quiero vivir en un apartamento que tenga tatamis.<br><br>畳[たたみ] - tatami, revestimiento de paja japonés para el suelo","[sound:JLPT_Tango_N4_0081.mp3]","","単語N4"
"部屋に押し入れがあると、便利です。","部屋[へや]に 押[お]し 入[い]れがあると、 便利[べんり]です。","Having closets in the room is convenient.<br><br>押[お]し 入[い]れ - closet","Tener armarios en la habitación es conveniente.<br><br>押[お]し[い[れ] 入[い]れ - armario","[sound:JLPT_Tango_N4_0082.mp3]","","単語N4"
"私はベッドより布団の方が好きです。","私[わたし]はベッドより 布団[ふとん]の 方[ほう]が 好[す]きです。","I prefer a futon to a bed.<br><br>布団[ふとん] - futon, bed mat","Prefiero un futón a una cama.<br><br>布団[ふとん] - futón, alfombra de cama","[sound:JLPT_Tango_N4_0083.mp3]","","単語N4"
"窓グラスを綺麗にしましょう。","窓[まど]グラスを 綺麗[きれい]にしましょう。","""Let's clean the window glass.<br><br>グラス - glass""","Vamos a limpiar el cristal de la ventana.<br><br>グラス - vidrio","[sound:JLPT_Tango_N4_0084.mp3]","","単語N4"
"明るい色のカーテンを買います。","明[あか]るい 色[いろ]のカーテンを 買[か]います。","""I'm going to buy brightly colored curtains.<br><br>カーテン - curtain""","Voy a comprar cortinas de colores brillantes.<br><br>カーテン - cortina","[sound:JLPT_Tango_N4_0085.mp3]","","単語N4"
"部屋の隅に机を置いています。","部屋[へや]の 隅[すみ]に 机[つくえ]を 置[お]いています。","There is a desk in the corner of the room.<br><br>隅[すみ] - corner, nook","Hay un escritorio en la esquina de la habitación.<br><br>隅[すみ] - esquina, rincón","[sound:JLPT_Tango_N4_0086.mp3]","","単語N4"
"私は木の家具が好きです。","私[わたし]は 木[き]の 家具[かぐ]が 好[す]きです。","I like wooden furniture.<br><br>家具[かぐ] - furninture","Me gustan los muebles de madera.<br><br>家具[かぐ] - mobiliario","[sound:JLPT_Tango_N4_0087.mp3]","","単語N4"
"棚にはＤＶＤが置いてあります。","棚[たな]にはＤＶＤが 置[お]いてあります。","There are DVDs on the shelf.<br><br>棚[たな] - shelf","Hay DVDs en la estantería.<br><br>棚[たな] - estantería","[sound:JLPT_Tango_N4_0088.mp3]","","単語N4"
"このベッドは自分で組み立てて下さい。","このベッドは 自分[じぶん]で 組[く]み 立[た]て 下[くだ]さい。","Please assemble this bed on your own.<br><br>組[く]み 立[た]てる - to assemble","Por favor, monte esta cama por su cuenta.<br><br>組[く]み[た[てる] 立[た]てる - para ensamblar","[sound:JLPT_Tango_N4_0089.mp3]","","単語N4"
"パスポートは机の引き出しの中にあります。","パスポートは 机[つくえ]の 引き出[ひきだ]しの 中[なか]にあります。","The passport is inside of the drawer in the desk.<br><br>引き出[ひきだ]し - drawer","El pasaporte está dentro del cajón del escritorio.<br><br>引き出[ひきだ]し - cajón","[sound:JLPT_Tango_N4_0090.mp3]","","単語N4"
"友達が来るので、部屋を片付けました。","友達[ともだち]が 来[く]るので、 部屋[へや]を 片付[かたづ]けました。","My friend is coming, so I cleaned my room.<br><br>片付[かたづ]ける - to clean up","Mi amigo viene, así que limpié mi habitación.<br><br>[片付[かたづ]ける - para limpiar","[sound:JLPT_Tango_N4_0091.mp3]","","単語N4"
"いつも部屋が片付いています。","いつも 部屋[へや]が 片付[かたづ]いています。","The room is always neat and clean.<br><br>片付[かたづ]く - to be cleaned up","La habitación está siempre ordenada y limpia.<br><br>片付[かたづ]く - para ser limpiado","[sound:JLPT_Tango_N4_0092.mp3]","","単語N4"
"机の上を綺麗に整理して下さい。","机[つくえ]の 上[うえ]を 綺麗[きれい]に 整理[せいり]して 下[くだ]さい。","Please clean and organize the top of the desk.<br><br>整理[せいり]＜する＞ - organization","Por favor, limpie y organice la parte superior del escritorio.<br><br>整理[せいり]＜する＞ - organización","[sound:JLPT_Tango_N4_0093.mp3]","","単語N4"
"みんなで大きいテーブルを動かします。","みんなで 大[おお]きいテーブルを 動[うご]かします。","Everyone moves the big table together.<br><br>動[うご]かす - to move, to make move","Todos mueven la mesa grande juntos.<br><br>動[うご]かす - mover, hacer mover","[sound:JLPT_Tango_N4_0094.mp3]","","単語N4"
"エレベーターが動いています。","エレベーターが 動[うご]いています。","The elevator is moving.<br><br>動[うご]く - to move","El ascensor se mueve.<br><br>動[うご]く - para moverse","[sound:JLPT_Tango_N4_0095.mp3]","","単語N4"
"家には小さい花瓶しかありません。","家[いえ]には 小[ちい]さい 花瓶[かびん]しかありません。","I only have a small flower vase at home.<br><br>花瓶[かびん] - flower vase","Sólo tengo un pequeño jarrón de flores en casa.<br><br>花瓶[かびん] - jarrón de flores","[sound:JLPT_Tango_N4_0096.mp3]","","単語N4"
"可愛い猫のカレンダーを買いました。","可愛[かわい]い 猫[ねこ]のカレンダーを 買[か]いました。","I bought a cute cat calendar.<br><br>カレンダー - calendar","He comprado un bonito calendario de gatos.<br><br>カレンダー - calendario","[sound:JLPT_Tango_N4_0097.mp3]","","単語N4"
"犬のポスターが欲しいです。","犬[いぬ]のポスターが 欲[ほ]しいです。","I want a poster of a dog.<br><br>ポスター - poster","Quiero un póster de un perro.<br><br>ポスター - póster","[sound:JLPT_Tango_N4_0098.mp3]","","単語N4"
"玄関に花を飾りたいです。","玄関[げんかん]に 花[はな]を 飾[かざ]りたいです。","I want to decorate the entranceway with flowers.<br><br>飾[かざ]る - to decorate","Quiero decorar la entrada con flores.<br><br>飾[かざ]る - para decorar","[sound:JLPT_Tango_N4_0099.mp3]","","単語N4"
"冷蔵庫にメモを貼っています。","冷蔵庫[れいぞうこ]にメモを 貼[は]っています。","There is a memo posted on the refrigerator.<br><br>貼[は]る - to post","Hay una nota colgada en la nevera.<br><br>貼[は]る - para publicar","[sound:JLPT_Tango_N4_0100.mp3]","","単語N4"
"玄関に綺麗な絵を掛けました。","玄関[げんかん]に 綺麗[きれい]な 絵[え]を 掛[か]けました。","I put up a pretty picture in the entranceway.<br><br>（ 絵[え]を） 掛[か]ける - to put/hang up (a picture)","Puse un bonito cuadro en la entrada.<br><br>（ 絵[え]を） 掛[か]ける - poner/colgar (un cuadro)","[sound:JLPT_Tango_N4_0101.mp3]","","単語N4"
"綺麗なカレンダーが掛かっていますね。","綺麗[きれい]なカレンダーが 掛[か]かっていますね。","You have a very lovely calendar hanging up.<br><br>（カレンダーが） 掛[か]かる - to hang/to be hung (a calendar)","Tienes un calendario muy bonito colgado.<br><br>（カレンダーが） 掛[か]かる - colgar/que se cuelgue (un calendario)","[sound:JLPT_Tango_N4_0102.mp3]","","単語N4"
"この椅子に掛けてもいいですか。","この 椅子[いす]に 掛[か]けてもいいですか。","May I sit down in this chair?<br><br>（ 椅子[いす]に） 掛[か]ける - to sit (in a chair)<br><br>掛[か]ける is only used for chairs, while 座[すわ]る can be used for chairs, grass or the floor.","¿Puedo sentarme en esta silla? <br><br>（ 椅子[いす]に） 掛[か]ける - para sentarse (en una silla)<br><br>掛[か]ける sólo se utiliza para las sillas, mientras que 座[すわ]る puede utilizarse para las sillas, el césped o el suelo.","[sound:JLPT_Tango_N4_0103.mp3]","","単語N4"
"今日は寒いので、暖房をつけましょう。","今日[きょう]は 寒[さむ]いので、 暖房[だんぼう]をつけましょう。","""It's cold today, so let's turn on the heater.<br><br>暖房[だんぼう] - heater""","Hoy hace frío, así que vamos a encender la calefacción.<br><br>暖房[だんぼう] - calefacción","[sound:JLPT_Tango_N4_0104.mp3]","","単語N4"
"ちょっとエアコンの温度を上げて下さい。","ちょっとエアコンの 温度[おんど]を 上[あ]げて 下[くだ]さい。","Please increase the temperature of the air conditioner.<br><br>上[あ]げる - to raise/to increase","Por favor, aumente la temperatura del aire acondicionado.<br><br>上[あ]げる - para aumentar / aumentar","[sound:JLPT_Tango_N4_0105.mp3]","","単語N4"
"この部屋は電源が少なくて、不便です。","この 部屋[へや]は 電源[でんげん]が 少[すく]なくて、 不便[ふべん]です。","It is inconvenient that there are only a few power outlets in this room.<br><br>電源[でんげん] - (electrical) power outlet","Es un inconveniente que sólo haya unos pocos enchufes en esta habitación.<br><br>電源[でんげん] - Toma de corriente (eléctrica)","[sound:JLPT_Tango_N4_0106.mp3]","","単語N4"
"部屋が暗いので、電気を付けましょう。","部屋[へや]が 暗[くら]いので、 電気[でんき]を 付[つ]けましょう。","""The room is dark so let's turn on the light.<br><br>（ 電気[でんき]を） 付[つ]ける - to turn on (a light)""","La habitación está oscura, así que encendamos la luz.<br><br> 電気[でんき]を） 付[つ]ける - encender (una luz)","[sound:JLPT_Tango_N4_0107.mp3]","","単語N4"
"ここを押すと、テレビがつきます。","ここを 押[お]すと、テレビがつきます。","If you push this here, the TV will turn on.<br><br>（テレビが）つく - to be on (the TV)","Si pulsas esto aquí, el televisor se encenderá.<br><br>（テレビが）つく - para que se encienda (el televisor)","[sound:JLPT_Tango_N4_0108.mp3]","","単語N4"
"教室を出る時は電気を消して下さい。","教室[きょうしつ]を 出[で]る 時[とき]は 電気[でんき]を 消[け]して 下[くだ]さい。","When you leave the classroom, please turn off the lights.<br><br>消[け]す - to turn off","Cuando salga del aula, por favor, apague las luces.<br><br>消[け]す - para apagar","[sound:JLPT_Tango_N4_0109.mp3]","","単語N4"
"電気が消えているので、田中さんは部屋に居ないでしょう。","電気[でんき]が 消[き]えているので、 田中[たなか]さんは 部屋[へや]に 居[い]ないでしょう。","The light is off, so Tanaka-san must not be in this room.<br><br>消[き]える - to be turned off","La luz está apagada, así que Tanaka-san no debe estar en esta habitación.<br><br>消[き]える - para que se apague","[sound:JLPT_Tango_N4_0110.mp3]","","単語N4"
"休みの日はお昼ごろ起きます。","休[やす]みの 日[ひ]はお 昼[ひる]ごろ 起[お]きます。","I wake up around lunchtime on my days off.<br><br>起[お]きる - to get up/to wake up","Me despierto alrededor de la hora de comer en mis días libres.<br><br>起[お]きる - levantarse/despertarse","[sound:JLPT_Tango_N4_0111.mp3]","","単語N4"
"毎朝、母が私を起こしてくれます。","毎朝[まいあさ]、 母[はは]が 私[わたし]を 起[お]こしてくれます。","My mother wakes me up every morning.<br><br>起[お]こす - to make get up/to wake (someone) up","Mi madre me despierta cada mañana.<br><br>起[お]こす - hacer levantarse/despertar (a alguien)","[sound:JLPT_Tango_N4_0112.mp3]","","単語N4"
"毎日、早起きしています。","毎日[まいにち]、 早起[はやお]きしています。","Every morning, I wake up early.<br><br>早起[はやお]き＜する＞ - waking up early","Todas las mañanas me despierto temprano.<br><br>[早起[はやお]き＜する＞ - despertando temprano","[sound:JLPT_Tango_N4_0113.mp3]","","単語N4"
